Accuracy,Feature_Combo
0.43672457337379456,"('tempo', 'tonnetz', 'chroma', 'rms')"
0.394540935754776,"('tempo', 'tonnetz', 'chroma', 'spec_flux')"
0.34739455580711365,"('tempo', 'tonnetz', 'chroma', 'spec_cont')"
0.46401986479759216,"('tempo', 'tonnetz', 'chroma', 'spec_cent')"
0.481389582157135,"('tempo', 'tonnetz', 'chroma', 'spec_band')"
0.518610417842865,"('tempo', 'tonnetz', 'chroma', 'roll_off')"
0.3598015010356903,"('tempo', 'tonnetz', 'chroma', 'zcr')"
0.6129032373428345,"('tempo', 'tonnetz', 'chroma', 'mfcc')"
0.5111662745475769,"('tempo', 'tonnetz', 'rms', 'spec_flux')"
0.49875929951667786,"('tempo', 'tonnetz', 'rms', 'spec_cont')"
0.5086848735809326,"('tempo', 'tonnetz', 'rms', 'spec_cent')"
0.5508685111999512,"('tempo', 'tonnetz', 'rms', 'spec_band')"
0.5062034726142883,"('tempo', 'tonnetz', 'rms', 'roll_off')"
0.5856079459190369,"('tempo', 'tonnetz', 'rms', 'zcr')"
0.6823821067810059,"('tempo', 'tonnetz', 'rms', 'mfcc')"
0.5459057092666626,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont')"
0.4838709533214569,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent')"
0.44665011763572693,"('tempo', 'tonnetz', 'spec_flux', 'spec_band')"
0.5434243083000183,"('tempo', 'tonnetz', 'spec_flux', 'roll_off')"
0.3970223367214203,"('tempo', 'tonnetz', 'spec_flux', 'zcr')"
0.5707195997238159,"('tempo', 'tonnetz', 'spec_flux', 'mfcc')"
0.47394540905952454,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent')"
0.4491315186023712,"('tempo', 'tonnetz', 'spec_cont', 'spec_band')"
0.5334987640380859,"('tempo', 'tonnetz', 'spec_cont', 'roll_off')"
0.47394540905952454,"('tempo', 'tonnetz', 'spec_cont', 'zcr')"
0.6947891116142273,"('tempo', 'tonnetz', 'spec_cont', 'mfcc')"
0.3598015010356903,"('tempo', 'tonnetz', 'spec_cent', 'spec_band')"
0.3970223367214203,"('tempo', 'tonnetz', 'spec_cent', 'roll_off')"
0.4243176281452179,"('tempo', 'tonnetz', 'spec_cent', 'zcr')"
0.6277915835380554,"('tempo', 'tonnetz', 'spec_cent', 'mfcc')"
0.5111662745475769,"('tempo', 'tonnetz', 'spec_band', 'roll_off')"
0.4590570628643036,"('tempo', 'tonnetz', 'spec_band', 'zcr')"
0.6625310182571411,"('tempo', 'tonnetz', 'spec_band', 'mfcc')"
0.5285359621047974,"('tempo', 'tonnetz', 'roll_off', 'zcr')"
0.6848635077476501,"('tempo', 'tonnetz', 'roll_off', 'mfcc')"
0.555831253528595,"('tempo', 'tonnetz', 'zcr', 'mfcc')"
0.4590570628643036,"('tempo', 'chroma', 'rms', 'spec_flux')"
0.4590570628643036,"('tempo', 'chroma', 'rms', 'spec_cont')"
0.41191068291664124,"('tempo', 'chroma', 'rms', 'spec_cent')"
0.5111662745475769,"('tempo', 'chroma', 'rms', 'spec_band')"
0.4888337552547455,"('tempo', 'chroma', 'rms', 'roll_off')"
0.4168734550476074,"('tempo', 'chroma', 'rms', 'zcr')"
0.6277915835380554,"('tempo', 'chroma', 'rms', 'mfcc')"
0.3374689817428589,"('tempo', 'chroma', 'spec_flux', 'spec_cont')"
0.37965261936187744,"('tempo', 'chroma', 'spec_flux', 'spec_cent')"
0.4913151264190674,"('tempo', 'chroma', 'spec_flux', 'spec_band')"
0.43176180124282837,"('tempo', 'chroma', 'spec_flux', 'roll_off')"
0.40446650981903076,"('tempo', 'chroma', 'spec_flux', 'zcr')"
0.6451612710952759,"('tempo', 'chroma', 'spec_flux', 'mfcc')"
0.34987592697143555,"('tempo', 'chroma', 'spec_cont', 'spec_cent')"
0.40694788098335266,"('tempo', 'chroma', 'spec_cont', 'spec_band')"
0.35483869910240173,"('tempo', 'chroma', 'spec_cont', 'roll_off')"
0.46401986479759216,"('tempo', 'chroma', 'spec_cont', 'zcr')"
0.6401985287666321,"('tempo', 'chroma', 'spec_cont', 'mfcc')"
0.43176180124282837,"('tempo', 'chroma', 'spec_cent', 'spec_band')"
0.4168734550476074,"('tempo', 'chroma', 'spec_cent', 'roll_off')"
0.43672457337379456,"('tempo', 'chroma', 'spec_cent', 'zcr')"
0.6426799297332764,"('tempo', 'chroma', 'spec_cent', 'mfcc')"
0.37965261936187744,"('tempo', 'chroma', 'spec_band', 'roll_off')"
0.4019851088523865,"('tempo', 'chroma', 'spec_band', 'zcr')"
0.6079404354095459,"('tempo', 'chroma', 'spec_band', 'mfcc')"
0.43672457337379456,"('tempo', 'chroma', 'roll_off', 'zcr')"
0.6079404354095459,"('tempo', 'chroma', 'roll_off', 'mfcc')"
0.5632754564285278,"('tempo', 'chroma', 'zcr', 'mfcc')"
0.5062034726142883,"('tempo', 'rms', 'spec_flux', 'spec_cont')"
0.4764268100261688,"('tempo', 'rms', 'spec_flux', 'spec_cent')"
0.3870967626571655,"('tempo', 'rms', 'spec_flux', 'spec_band')"
0.357320100069046,"('tempo', 'rms', 'spec_flux', 'roll_off')"
0.5086848735809326,"('tempo', 'rms', 'spec_flux', 'zcr')"
0.655086874961853,"('tempo', 'rms', 'spec_flux', 'mfcc')"
0.4764268100261688,"('tempo', 'rms', 'spec_cont', 'spec_cent')"
0.503722071647644,"('tempo', 'rms', 'spec_cont', 'spec_band')"
0.4863523542881012,"('tempo', 'rms', 'spec_cont', 'roll_off')"
0.5533498525619507,"('tempo', 'rms', 'spec_cont', 'zcr')"
0.6476426720619202,"('tempo', 'rms', 'spec_cont', 'mfcc')"
0.49627792835235596,"('tempo', 'rms', 'spec_cent', 'spec_band')"
0.4292804002761841,"('tempo', 'rms', 'spec_cent', 'roll_off')"
0.44168734550476074,"('tempo', 'rms', 'spec_cent', 'zcr')"
0.6451612710952759,"('tempo', 'rms', 'spec_cent', 'mfcc')"
0.5707195997238159,"('tempo', 'rms', 'spec_band', 'roll_off')"
0.4267989993095398,"('tempo', 'rms', 'spec_band', 'zcr')"
